 10th: {'precision': 1.0, 'recall': 0.3870967741935484, 'f1': 0.5581395348837209}
 11th: {'precision': 0.9615384615384616, 'recall': 0.4166666666666667, 'f1': 0.5813953488372093}
 12th: {'precision': 1.0, 'recall': 0.45454545454545453, 'f1': 0.625}
 1st-4th: {'precision': 1.0, 'recall': 0.16666666666666666, 'f1': 0.2857142857142857}
 5th-6th: {'precision': 1.0, 'recall': 0.6875, 'f1': 0.8148148148148148}
 7th-8th: {'precision': 1.0, 'recall': 0.525, 'f1': 0.6885245901639345}
 9th: {'precision': 1.0, 'recall': 0.37037037037037035, 'f1': 0.5405405405405406}
 Assoc-acdm: {'precision': 0.9181818181818182, 'recall': 0.7622641509433963, 'f1': 0.8329896907216495}
 Assoc-voc: {'precision': 0.9361702127659575, 'recall': 0.6094182825484764, 'f1': 0.7382550335570469}
 Bachelors: {'precision': 0.8362068965517241, 'recall': 0.9171544349392166, 'f1': 0.8748121108009448}
 Doctorate: {'precision': 0.925, 'recall': 0.9673202614379085, 'f1': 0.9456869009584665}
 HS-grad: {'precision': 0.9637462235649547, 'recall': 0.3808955223880597, 'f1': 0.5459991442019684}
 Masters: {'precision': 0.8979391560353287, 'recall': 0.954118873826903, 'f1': 0.9251769464105155}
 Preschool: {'precision': 0.0, 'recall': 1.0, 'f1': 0.0}
 Prof-school: {'precision': 0.9249448123620309, 'recall': 0.9905437352245863, 'f1': 0.9566210045662099}
 Some-college: {'precision': 0.894054054054054, 'recall': 0.5962509012256669, 'f1': 0.7153979238754326}
